------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
------------------在性能统计中查询PSBC注册成功率------------------
StartTime	EndTime	网元名	PSBC初始注册成功率	PSBC重注册成功率	
------------------在性能统计中查询CSCF接通率------------------
StartTime	EndTime	网元名	CSCF接通率	CSCF MO接通率	CSCF MT接通率	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZISBG09BHW	82.921	80.211	85.177	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZISBG12BHW	84.622	82.352	86.643	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZISBG09BHW	82.574	79.707	84.953	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZISBG12BHW	84.09	81.302	86.523	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZISBG09BHW	82.918	80.254	85.231	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZISBG12BHW	82.478	80.089	84.65	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZISBG09BHW	77.072	71.731	81.58	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZISBG12BHW	75.476	71.455	79.008	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZISBG09BHW	82.138	80.036	83.886	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZISBG12BHW	82.165	80.033	84.035	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZISBG09BHW	80.628	78.065	82.745	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZISBG12BHW	82.96	80.363	85.295	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZISBG09BHW	79.249	77.101	80.99	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZISBG12BHW	80.723	79.045	82.149	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZISBG09BHW	79.59	77.465	81.239	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZISBG12BHW	80.383	78.859	81.682	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZISBG09BHW	79.04	76.984	80.598	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZISBG12BHW	81.919	79.545	83.908	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZISBG09BHW	77.785	75.26	79.809	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZISBG12BHW	79.768	76.194	82.8	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZISBG09BHW	79.734	77.388	81.574	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZISBG12BHW	81.671	78.807	84.015	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZISBG09BHW	78.185	75.865	80.039	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZISBG12BHW	81.467	78.297	84.003	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZISBG09BHW	78.479	77.237	79.376	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZISBG12BHW	80.287	76.928	82.892	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZISBG09BHW	77.617	76.073	78.639	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZISBG12BHW	79.701	77.606	81.415	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZISBG09BHW	78.611	76.818	79.87	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZISBG12BHW	78.968	76.277	81.174	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZISBG09BHW	77.426	75.785	78.632	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZISBG12BHW	78.471	75.723	80.744	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZISBG09BHW	78.361	77.333	79.141	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZISBG12BHW	79.849	78.199	81.178	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZISBG09BHW	78.781	75.702	80.93	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZISBG12BHW	77.238	76.439	77.843	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZISBG09BHW	78.068	76.867	78.912	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZISBG12BHW	80.076	78.065	81.617	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZISBG09BHW	77.98	76.012	79.338	
