------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZPSBC13BHW	90.742	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZPSBC14BHW	90.553	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZPSBC13BHW	90.42	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZPSBC14BHW	89.676	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZPSBC13BHW	89.158	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZPSBC14BHW	89.094	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZPSBC13BHW	86.241	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZPSBC14BHW	85.846	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZPSBC13BHW	88.818	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZPSBC14BHW	88.017	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZPSBC13BHW	89.039	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZPSBC14BHW	88.007	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZPSBC13BHW	89.339	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZPSBC14BHW	89.148	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZPSBC13BHW	90.269	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZPSBC14BHW	89.503	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZPSBC13BHW	89.725	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZPSBC14BHW	88.568	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZPSBC13BHW	90.322	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZPSBC14BHW	89.439	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZPSBC13BHW	90.264	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZPSBC14BHW	90.277	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZPSBC13BHW	89.717	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZPSBC14BHW	88.968	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZPSBC13BHW	89.615	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZPSBC14BHW	89.656	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZPSBC13BHW	90.564	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZPSBC14BHW	89.542	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZPSBC13BHW	90.125	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZPSBC14BHW	89.381	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZPSBC13BHW	90.083	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZPSBC14BHW	88.533	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZPSBC13BHW	89.694	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZPSBC14BHW	89.684	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZPSBC13BHW	91.13	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZPSBC14BHW	89.456	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZPSBC13BHW	90.899	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZPSBC14BHW	90.377	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZPSBC13BHW	90.999	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZPSBC14BHW	90.177	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZPSBC13BHW	91.443	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZPSBC14BHW	91.115	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZPSBC13BHW	90.915	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZPSBC14BHW	90.852	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZPSBC13BHW	91.403	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZPSBC14BHW	90.783	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZPSBC13BHW	91.43	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZPSBC14BHW	91.219	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZPSBC13BHW	91.321	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZPSBC14BHW	91.28	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZPSBC13BHW	91.873	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZPSBC14BHW	92.059	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZPSBC13BHW	92.042	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZPSBC14BHW	92.582	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZPSBC13BHW	92.447	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZPSBC14BHW	92.464	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZPSBC13BHW	91.885	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZPSBC14BHW	91.796	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZPSBC13BHW	92.815	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZPSBC14BHW	92.846	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZPSBC13BHW	92.979	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZPSBC14BHW	92.97	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZPSBC13BHW	93.043	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZPSBC14BHW	93.11	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZPSBC13BHW	93.07	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZPSBC14BHW	93.143	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZPSBC13BHW	93.182	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZPSBC14BHW	93.116	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZPSBC13BHW	93.049	
