------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZSCCAS04BHW	96.978	92.746	94.745	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZSCCAS09BHW	97.756	94.99	96.317	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZVOLTEAS04BHW	97.302	97.292	97.297	
2017/12/20 0:00:00	2017/12/20 0:15:00	HZVOLTEAS09BHW	98.025	96.63	97.306	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZSCCAS04BHW	97.069	93.16	94.981	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZSCCAS09BHW	97.533	94.9	96.157	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZVOLTEAS04BHW	97.514	96.315	96.887	
2017/12/20 0:15:00	2017/12/20 0:30:00	HZVOLTEAS09BHW	97.857	95.69	96.732	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZSCCAS04BHW	97.006	94.216	95.521	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZSCCAS09BHW	97.295	93.929	95.565	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZVOLTEAS04BHW	97.124	96.504	96.804	
2017/12/20 0:30:00	2017/12/20 0:45:00	HZVOLTEAS09BHW	97.561	95.707	96.616	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZSCCAS04BHW	95.824	94.247	94.991	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZSCCAS09BHW	95.519	93.948	94.689	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZVOLTEAS04BHW	96.616	96.612	96.614	
2017/12/20 0:45:00	2017/12/20 1:00:00	HZVOLTEAS09BHW	95.965	96.308	96.144	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZSCCAS04BHW	97.257	93.955	95.487	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZSCCAS09BHW	97.634	93.587	95.495	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZVOLTEAS04BHW	96.764	96.201	96.462	
2017/12/20 1:00:00	2017/12/20 1:15:00	HZVOLTEAS09BHW	98.007	96.229	97.087	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZSCCAS04BHW	97.106	93.146	94.978	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZSCCAS09BHW	97.63	93.424	95.4	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZVOLTEAS04BHW	97.337	96.752	97.031	
2017/12/20 1:15:00	2017/12/20 1:30:00	HZVOLTEAS09BHW	98.202	95.759	96.927	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZSCCAS04BHW	97.302	91.79	94.274	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZSCCAS09BHW	97.435	91.517	94.234	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZVOLTEAS04BHW	97.558	96.459	96.99	
2017/12/20 1:30:00	2017/12/20 1:45:00	HZVOLTEAS09BHW	97.928	92.434	94.994	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZSCCAS04BHW	97.315	92.812	94.898	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZSCCAS09BHW	97.566	92.652	95.024	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZVOLTEAS04BHW	97.794	96.484	97.116	
2017/12/20 1:45:00	2017/12/20 2:00:00	HZVOLTEAS09BHW	97.916	91.887	94.806	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZSCCAS04BHW	96.951	90.924	93.659	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZSCCAS09BHW	97.396	92.639	94.86	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZVOLTEAS04BHW	97.597	96.104	96.819	
2017/12/20 2:00:00	2017/12/20 2:15:00	HZVOLTEAS09BHW	97.63	95.382	96.456	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZSCCAS04BHW	97.502	91.028	93.999	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZSCCAS09BHW	97.272	92.057	94.409	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZVOLTEAS04BHW	98.217	96.59	97.352	
2017/12/20 2:15:00	2017/12/20 2:30:00	HZVOLTEAS09BHW	97.883	95.284	96.495	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZSCCAS04BHW	97.063	91.816	94.213	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZSCCAS09BHW	97.006	90.663	93.379	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZVOLTEAS04BHW	97.812	96.611	97.167	
2017/12/20 2:30:00	2017/12/20 2:45:00	HZVOLTEAS09BHW	97.716	95.556	96.525	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZSCCAS04BHW	97.014	90.605	93.484	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZSCCAS09BHW	97.489	88.648	92.297	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZVOLTEAS04BHW	97.957	97.178	97.542	
2017/12/20 2:45:00	2017/12/20 3:00:00	HZVOLTEAS09BHW	97.831	94.928	96.214	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZSCCAS04BHW	97.049	92.2	94.384	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZSCCAS09BHW	97.481	88.046	92.088	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZVOLTEAS04BHW	98.157	96.917	97.496	
2017/12/20 3:00:00	2017/12/20 3:15:00	HZVOLTEAS09BHW	98.268	95.118	96.563	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZSCCAS04BHW	97.057	91.217	93.721	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZSCCAS09BHW	97.711	91.044	94.015	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZVOLTEAS04BHW	97.383	96.094	96.689	
2017/12/20 3:15:00	2017/12/20 3:30:00	HZVOLTEAS09BHW	98.154	96.681	97.365	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZSCCAS04BHW	97.565	90.255	93.522	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZSCCAS09BHW	97.61	91.343	93.961	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZVOLTEAS04BHW	97.248	96.836	97.028	
2017/12/20 3:30:00	2017/12/20 3:45:00	HZVOLTEAS09BHW	97.955	96.289	97.015	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZSCCAS04BHW	97.06	91.27	93.713	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZSCCAS09BHW	97.237	92.597	94.694	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZVOLTEAS04BHW	96.897	95.64	96.225	
2017/12/20 3:45:00	2017/12/20 4:00:00	HZVOLTEAS09BHW	97.509	97.289	97.392	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZSCCAS04BHW	96.946	91.335	93.772	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZSCCAS09BHW	98.383	92.793	95.315	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZVOLTEAS04BHW	97.463	95.662	96.482	
2017/12/20 4:00:00	2017/12/20 4:15:00	HZVOLTEAS09BHW	97.853	97.067	97.435	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZSCCAS04BHW	98.18	91.468	94.343	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZSCCAS09BHW	97.584	91.019	93.936	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZVOLTEAS04BHW	97.773	96.248	96.939	
2017/12/20 4:15:00	2017/12/20 4:30:00	HZVOLTEAS09BHW	98.038	96.805	97.379	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZSCCAS04BHW	97.484	91.579	94.191	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZSCCAS09BHW	97.66	90.419	93.687	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZVOLTEAS04BHW	97.9	96.09	96.908	
2017/12/20 4:30:00	2017/12/20 4:45:00	HZVOLTEAS09BHW	97.933	97.32	97.609	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZSCCAS04BHW	97.945	92.605	94.943	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZSCCAS09BHW	97.701	92.016	94.572	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZVOLTEAS04BHW	98.408	96.471	97.349	
2017/12/20 4:45:00	2017/12/20 5:00:00	HZVOLTEAS09BHW	97.909	96.117	96.944	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZSCCAS04BHW	97.385	93.49	95.26	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZSCCAS09BHW	97.337	92.914	94.891	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZVOLTEAS04BHW	98.306	95.202	96.644	
2017/12/20 5:00:00	2017/12/20 5:15:00	HZVOLTEAS09BHW	97.442	94.98	96.098	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZSCCAS04BHW	97.555	94.549	95.916	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZSCCAS09BHW	98.27	93.295	95.543	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZVOLTEAS04BHW	98.115	97.662	97.875	
2017/12/20 5:15:00	2017/12/20 5:30:00	HZVOLTEAS09BHW	98.086	96.887	97.438	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZSCCAS04BHW	98.023	94.203	95.909	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZSCCAS09BHW	98.488	93.638	95.854	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZVOLTEAS04BHW	98.008	97.187	97.564	
2017/12/20 5:30:00	2017/12/20 5:45:00	HZVOLTEAS09BHW	98.196	96.39	97.231	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZSCCAS04BHW	97.211	95.375	96.222	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZSCCAS09BHW	97.977	94.216	95.934	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZVOLTEAS04BHW	97.852	97.11	97.458	
2017/12/20 5:45:00	2017/12/20 6:00:00	HZVOLTEAS09BHW	97.759	97.067	97.387	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZSCCAS04BHW	97.907	94.594	96.097	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZSCCAS09BHW	98.038	95.427	96.633	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZVOLTEAS04BHW	97.959	97.816	97.883	
2017/12/20 6:00:00	2017/12/20 6:15:00	HZVOLTEAS09BHW	98.462	97.582	97.993	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZSCCAS04BHW	97.763	94.912	96.219	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZSCCAS09BHW	97.789	94.916	96.242	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZVOLTEAS04BHW	98.083	97.639	97.844	
2017/12/20 6:15:00	2017/12/20 6:30:00	HZVOLTEAS09BHW	98.263	97.702	97.964	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZSCCAS04BHW	97.826	95.104	96.371	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZSCCAS09BHW	98.284	95.733	96.933	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZVOLTEAS04BHW	98.167	97.679	97.907	
2017/12/20 6:30:00	2017/12/20 6:45:00	HZVOLTEAS09BHW	98.437	97.677	98.037	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZSCCAS04BHW	97.893	95.843	96.797	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZSCCAS09BHW	98.215	95.732	96.9	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZVOLTEAS04BHW	98.137	97.725	97.917	
2017/12/20 6:45:00	2017/12/20 7:00:00	HZVOLTEAS09BHW	98.427	97.791	98.092	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZSCCAS04BHW	98.053	96.59	97.273	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZSCCAS09BHW	98.235	96.533	97.331	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZVOLTEAS04BHW	98.243	97.801	98.008	
2017/12/20 7:00:00	2017/12/20 7:15:00	HZVOLTEAS09BHW	98.539	97.864	98.182	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZSCCAS04BHW	98.016	96.753	97.343	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZSCCAS09BHW	98.324	96.693	97.462	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZVOLTEAS04BHW	97.984	97.359	97.65	
2017/12/20 7:15:00	2017/12/20 7:30:00	HZVOLTEAS09BHW	98.477	97.573	97.998	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZSCCAS04BHW	98.046	97.001	97.49	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZSCCAS09BHW	98.422	97.075	97.712	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZVOLTEAS04BHW	98.236	97.521	97.855	
2017/12/20 7:30:00	2017/12/20 7:45:00	HZVOLTEAS09BHW	98.636	97.591	98.083	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZSCCAS04BHW	98.099	97.237	97.641	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZSCCAS09BHW	98.394	97.375	97.858	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZVOLTEAS04BHW	98.189	97.527	97.835	
2017/12/20 7:45:00	2017/12/20 8:00:00	HZVOLTEAS09BHW	98.63	97.739	98.159	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZSCCAS04BHW	98.09	97.261	97.644	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZSCCAS09BHW	98.505	97.567	98.01	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZVOLTEAS04BHW	98.294	97.661	97.953	
2017/12/20 8:00:00	2017/12/20 8:15:00	HZVOLTEAS09BHW	98.701	97.582	98.107	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZSCCAS04BHW	98.109	97.512	97.789	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZSCCAS09BHW	98.601	97.498	98.014	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZVOLTEAS04BHW	98.384	97.491	97.901	
2017/12/20 8:15:00	2017/12/20 8:30:00	HZVOLTEAS09BHW	98.8	97.484	98.095	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZSCCAS04BHW	98.131	97.439	97.753	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZSCCAS09BHW	98.494	97.65	98.043	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZVOLTEAS04BHW	98.351	97.4	97.83	
2017/12/20 8:30:00	2017/12/20 8:45:00	HZVOLTEAS09BHW	98.696	97.533	98.071	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZSCCAS04BHW	98.032	97.331	97.642	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZSCCAS09BHW	98.443	97.672	98.026	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZVOLTEAS04BHW	97.968	97.12	97.495	
2017/12/20 8:45:00	2017/12/20 9:00:00	HZVOLTEAS09BHW	98.629	97.375	97.946	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZSCCAS04BHW	97.992	97.277	97.588	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZSCCAS09BHW	98.531	97.567	98.002	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZVOLTEAS04BHW	98.073	97.227	97.594	
2017/12/20 9:00:00	2017/12/20 9:15:00	HZVOLTEAS09BHW	98.593	97.255	97.857	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZSCCAS04BHW	98.007	97.016	97.44	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZSCCAS09BHW	98.391	97.551	97.924	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZVOLTEAS04BHW	98.168	97.174	97.6	
2017/12/20 9:15:00	2017/12/20 9:30:00	HZVOLTEAS09BHW	98.463	97.066	97.683	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZSCCAS04BHW	97.997	97.204	97.54	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZSCCAS09BHW	98.495	97.673	98.038	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZVOLTEAS04BHW	97.858	97.042	97.387	
2017/12/20 9:30:00	2017/12/20 9:45:00	HZVOLTEAS09BHW	98.535	97.121	97.745	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZSCCAS04BHW	98.012	97.224	97.555	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZSCCAS09BHW	98.434	97.666	98.005	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZVOLTEAS04BHW	98.059	97.221	97.574	
2017/12/20 9:45:00	2017/12/20 10:00:00	HZVOLTEAS09BHW	98.454	97.128	97.709	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZSCCAS04BHW	97.974	97.27	97.566	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZSCCAS09BHW	98.455	97.709	98.04	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZVOLTEAS04BHW	98.093	97.132	97.537	
2017/12/20 10:00:00	2017/12/20 10:15:00	HZVOLTEAS09BHW	98.536	97.276	97.832	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZSCCAS04BHW	98.036	97.307	97.614	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZSCCAS09BHW	98.45	97.642	97.996	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZVOLTEAS04BHW	98.068	97.118	97.519	
2017/12/20 10:15:00	2017/12/20 10:30:00	HZVOLTEAS09BHW	98.568	97.405	97.912	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZSCCAS04BHW	97.953	97.379	97.621	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZSCCAS09BHW	98.357	97.661	97.969	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZVOLTEAS04BHW	98.174	97.192	97.604	
2017/12/20 10:30:00	2017/12/20 10:45:00	HZVOLTEAS09BHW	98.509	97.383	97.878	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZSCCAS04BHW	97.936	97.318	97.577	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZSCCAS09BHW	98.407	97.66	97.991	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZVOLTEAS04BHW	98.028	97.213	97.554	
2017/12/20 10:45:00	2017/12/20 11:00:00	HZVOLTEAS09BHW	98.468	97.301	97.816	
